solution 1743 [ fit.: 0.684728, part.: (0.665363, 0.692419, 0.696402, ), spec.: 0, adj.fit.: 0.006847, age: 0, parents (1662, 1610), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1744 [ fit.: 0.681262, part.: (0.665203, 0.687740, 0.690841, ), spec.: 0, adj.fit.: 0.006813, age: 0, parents (1676, 1621), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1745 [ fit.: 0.684688, part.: (0.665549, 0.692873, 0.695643, ), spec.: 0, adj.fit.: 0.006847, age: 0, parents (1627, 1664), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1746 [ fit.: 0.684157, part.: (0.664205, 0.692363, 0.695904, ), spec.: 0, adj.fit.: 0.006842, age: 0, parents (1674, 1647), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1747 [ fit.: 0.683843, part.: (0.663957, 0.692803, 0.694770, ), spec.: 0, adj.fit.: 0.006838, age: 0, parents (1668, 1673), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1748 [ fit.: 0.683961, part.: (0.664165, 0.691815, 0.695903, ), spec.: 0, adj.fit.: 0.006840, age: 0, parents (1543, 1617), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1749 [ fit.: 0.683458, part.: (0.663541, 0.691936, 0.694896, ), spec.: 0, adj.fit.: 0.006835, age: 0, parents (1614, 1634), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1750 [ fit.: 0.684117, part.: (0.664563, 0.692621, 0.695168, ), spec.: 0, adj.fit.: 0.006841, age: 0, parents (1605, 1609), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1751 [ fit.: 0.684465, part.: (0.663882, 0.692946, 0.696568, ), spec.: 0, adj.fit.: 0.006845, age: 0, parents (1617, 1672), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1752 [ fit.: 0.684765, part.: (0.665291, 0.692839, 0.696166, ), spec.: 0, adj.fit.: 0.006848, age: 0, parents (1632, 1669), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1753 [ fit.: 0.685133, part.: (0.665837, 0.693369, 0.696194, ), spec.: 0, adj.fit.: 0.006851, age: 0, parents (1658, 1659), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1754 [ fit.: 0.684221, part.: (0.664038, 0.693265, 0.695359, ), spec.: 0, adj.fit.: 0.006842, age: 0, parents (1669, 1612), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1755 [ fit.: 0.680698, part.: (0.664140, 0.687498, 0.690455, ), spec.: 0, adj.fit.: 0.006807, age: 0, parents (1639, 1670), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
